日期,星期,週別,板塊,資金變化合計,個股數,操作家數合計,日增家合計,日減家合計
2026-07-01,三,2026-W27,IC設計,-715110500.0,16,4,1,3
2026-07-01,三,2026-W27,IC通路,0.0,3,0,0,0
2026-07-01,三,2026-W27,PCB/覆銅板/銅箔,-303854500.0,16,6,4,2
2026-07-01,三,2026-W27,光通訊,0.0,5,0,0,0
2026-07-01,三,2026-W27,其他/傳產,172294650.01296997,19,2,1,1
2026-07-01,三,2026-W27,半導體材料/化學品,0.0,11,1,1,0
2026-07-01,三,2026-W27,半導體設備,-769065000.0,26,10,5,5
2026-07-01,三,2026-W27,封測,-17375000.0,13,3,2,1
2026-07-01,三,2026-W27,散熱/機構件,341275000.0,12,2,2,0
2026-07-01,三,2026-W27,晶圓代工/矽晶圓,278777875.0,9,3,2,1
2026-07-01,三,2026-W27,海外IDM半導體大廠,0.0,2,0,0,0
2026-07-01,三,2026-W27,網通/系統組裝/雲端伺服器,-451545000.0,17,2,1,1
2026-07-01,三,2026-W27,被動元件/連接器,-14597000.0,13,5,4,1
2026-07-01,三,2026-W27,記憶體,0.0,7,1,1,0
2026-07-01,三,2026-W27,金融,0.0,6,0,0,0
2026-07-01,三,2026-W27,電信,0.0,2,0,0,0
2026-07-02,四,2026-W27,IC設計,-62613500.0,16,0,0,0
2026-07-02,四,2026-W27,IC通路,0.0,3,0,0,0
2026-07-02,四,2026-W27,PCB/覆銅板/銅箔,248790000.0,16,0,0,0
2026-07-02,四,2026-W27,光通訊,-137507500.0,5,0,0,0
2026-07-02,四,2026-W27,其他/傳產,-18568175.33493042,18,0,0,0
2026-07-02,四,2026-W27,半導體材料/化學品,77375000.0,11,0,0,0
2026-07-02,四,2026-W27,半導體設備,-626841250.0,26,0,0,0
2026-07-02,四,2026-W27,封測,-19284000.0,13,0,0,0
2026-07-02,四,2026-W27,散熱/機構件,100781186.06511284,11,0,0,0
2026-07-02,四,2026-W27,晶圓代工/矽晶圓,-1147904625.0,9,0,0,0
2026-07-02,四,2026-W27,海外IDM半導體大廠,0.0,2,0,0,0
2026-07-02,四,2026-W27,網通/系統組裝/雲端伺服器,-1251380180.4401183,17,0,0,0
2026-07-02,四,2026-W27,被動元件/連接器,-308065000.0,12,0,0,0
2026-07-02,四,2026-W27,記憶體,67541250.0,7,0,0,0
